,Number,Title,Author,Fiction/Non,Date Read,Topic,Pages,Score,ISBN13,Goodreads ID,Description,Rating,Num Ratings,Publication Date,Shelves
0,1,Gulp,Mary Roach,Non,May 2017,Science,348,9,9780393081572,13615414.0,"“America’s funniest science writer” (Washington Post) takes us down the hatch on an unforgettable tour. The alimentary canal is classic Mary Roach terrain: the questions explored in Gulp are as taboo, in their way, as the cadavers in Stiff and every bit as surreal as the universe of zero gravity explored in Packing for Mars. Why is crunchy food so appealing? Why is it so hard to find words for flavors and smells? Why doesn’t the stomach digest itself? How much can you eat before your stomach bursts? Can constipation kill you? Did it kill Elvis? In Gulp we meet scientists who tackle the questions no one else thinks of—or has the courage to ask. We go on location to a pet-food taste-test lab, a fecal transplant, and into a live stomach to observe the fate of a meal. With Roach at our side, we travel the world, meeting murderers and mad scientists, Eskimos and exorcists (who have occasionally administered holy water rectally), rabbis and terrorists—who, it turns out, for practical reasons do not conceal bombs in their digestive tracts.<br /><br />Like all of Roach’s books, Gulp is as much about human beings as it is about human bodies.",3.93,30612.0,2013-04-01,
1,2,The Wilderness,McKay Coppins,Non,May 2017,Politics,400,6,9780316327411,25112896.0,"<b>The explosive story of the Republican Party's intensely dramatic and fractious efforts to find its way back to unity and national dominance.</b> <br /><br /> After the 2012 election, the GOP was in the wilderness. Lost and in disarray. And doggedly determined to do whatever it took to get back to 1600 Pennsylvania Avenue. McKay Coppins has had unparalleled access to Republican presidential candidates, power brokers, lawmakers, and Tea Party leaders. <br /><br /> Based on more than 300 interviews, <i>The Wilderness</i> is the book that opens up the party like never before: the deep passions, larger-than-life personalities, and dagger-sharp power plays behind the scenes. In wildly colorful scenes, this exclusive look into the Republican Party at a pivotal moment in its history follows a cast of its rising stars, establishment figures, and loudmouthed insurgents -- Jeb Bush, Chris Christie, Ted Cruz, Carly Fiorina, Bobby Jindal, Rand Paul, Marco Rubio, Paul Ryan, Donald Trump, Scott Walker, and dozens of others -- as they battle over the future of the party and its path to the presidency.",3.9,269.0,2015-12-01,
2,3,On Tyranny,Timothy Snyder,Non,May 2017,Politics,126,8,9780804190114,33917107.0,"A historian of fascism offers a guide for surviving and resisting America’s turn towards authoritarianism.<br /><br />On November 9th, millions of Americans woke up to the impossible: the election of Donald Trump as president. Against all predictions, one of the most-disliked presidential candidates in history had swept the electoral college, elevating a man with open contempt for democratic norms and institutions to the height of power.<br /><br />Timothy Snyder is one of the most celebrated historians of the Holocaust. In his books <i>Bloodlands</i> and <i>Black Earth</i>, he has carefully dissected the events and values that enabled the rise of Hitler and Stalin and the execution of their catastrophic policies. With <i>Twenty Lessons</i>, Snyder draws from the darkest hours of the twentieth century to provide hope for the twenty-first. As he writes, “Americans are no wiser than the Europeans who saw democracy yield to fascism, Nazism and communism. Our one advantage is that we might learn from their experience.”<br /><br /><i>Twenty Lessons</i> is a call to arms and a guide to resistance, with invaluable ideas for how we can preserve our freedoms in the uncertain years to come.",4.2,26429.0,2017-03-28,
3,4,Grunt,Mary Roach,Non,May 2017,Science,285,7,9780393245448,26530320.0,"Best-selling author Mary Roach explores the science of keeping human beings intact, awake, sane, uninfected, and uninfested in the bizarre and extreme circumstances of war. <em>Grunt</em> tackles the science behind some of a soldier's most challenging adversaries—panic, exhaustion, heat, noise—and introduces us to the scientists who seek to conquer them. <br /><br />Mary Roach dodges hostile fire with the U.S. Marine Corps Paintball Team as part of a study on hearing loss and survivability in combat. She visits the fashion design studio of U.S. Army Natick Labs and learns why a zipper is a problem for a sniper. She visits a repurposed movie studio where amputee actors help prepare Marine Corps medics for the shock and gore of combat wounds. <br /><br />At Camp Lemmonier, Djibouti, in east Africa, we learn how diarrhea can be a threat to national security. Roach samples caffeinated meat, sniffs an archival sample of a World War II stink bomb, and stays up all night with the crew tending the missiles on the nuclear submarine USS Tennessee. She answers questions not found in any other book on the military: Why is DARPA interested in ducks? How is a wedding gown like a bomb suit? Why are shrimp more dangerous to sailors than sharks? Take a tour of duty with Roach, and you’ll never see our nation’s defenders in the same way again.",3.93,8616.0,2016-06-07,
4,5,Swallow This,Joanna Blythman,Non,May 2017,Science,320,4,9780008157852,25776404.0,"From the author of What to Eat and Shopped, a revelatory investigation into what really goes into the food we eat.<br /><br /><br />Even with 25 years experience as a journalist and investigator of the food chain, Joanna Blythman still felt she had unanswered questions about the food we consume every day. How ‘natural’ is the process for making a ‘natural’ flavouring? What, exactly, is modified starch, and why is it an ingredient in so many foods? What is done to pitta bread to make it stay ‘fresh’ for six months? And why, when you eat a supermarket salad, does the taste linger in your mouth for several hours after?<br /><br /><br />Swallow This is a fascinating exploration of the food processing industry and its products – not just the more obvious ready meals, chicken nuggets and tinned soups, but the less overtly industrial – washed salads, smoothies, yoghurts, cereal bars, bread, fruit juice, prepared vegetables. Forget illegal, horse-meat-scandal processes, every step in the production of these is legal, but practised by a strange and inaccessible industry, with methods a world-away from our idea of domestic food preparation, and obscured by technical speak, unintelligible ingredients manuals, and clever labelling practices.<br /><br /><br />Determined to get to the bottom of the impact the industry has on our food, Joanna Blythman has gained unprecedented access to factories, suppliers and industry insiders, to give an utterly eye-opening account of what we’re really swallowing.",3.81,5.0,2016-02-02,
5,6,Time to get Tough,Donald Trump,Non,May 2017,Politics,216,2,9781596987739,13102326.0,"<b>A <i>New York Times</i> bestseller!</b><br /><br />2016 Republican presidential candidate Donald J. Trump has a plan to make America great again.<br /><br />President Obama has been a disaster for this country. He's wrecked our economy, saddled our children with debt, and gone around the world <i>apologizing</i> for America--as if the greatest nation in the world needed to apologize for being the land of opportunity and freedom that we were before Obama became president.<br /><br />Now, America looks like a broken country--stripped of jobs, stripped of wealth, stripped of respect. And what does President Obama do about it? He plays nice with the very same foreign governments who are eager to watch America burn.<br /><br />This can't go on. And if Donald J. Trump has anything to say about it, it won't.<br /><br />In his blockbuster book, <i>Time to Get Tough</i>, Trump has the answers America has been looking for, including:<br /><br />How to <b>finally</b> secure our border and fix our immigration overflow<br /><br /><br />How to create American jobs by forcing Communist China into truly fair trade<br /><br /><br />How to retire our debt without endangering long-established programs--like Social Security, Medicare, and Medicaid--that millions of Americans depend on<br /><br /><br />How to undo the fraud of Obamanomics and the disaster of Obamacare<br /><br />Blunt, straightforward, and honest, it's all trademark Trump, setting out a common sense agenda to restore American prosperity and make our nation respected once again.",3.69,552.0,2011-12-05,
6,7,The Glass Cage,Nicholas Carr,Non,May 2017,Science,288,3,9780393351637,25622254.0,"In <em>The Glass Cage</em>, best-selling author Nicholas Carr digs behind the headlines about factory robots and self-driving cars, wearable computers and digitized medicine, as he explores the hidden costs of granting software dominion over our work and our leisure. Even as they bring ease to our lives, these programs are stealing something essential from us.<br /><br />Drawing on psychological and neurological studies that underscore how tightly people’s happiness and satisfaction are tied to performing hard work in the real world, Carr reveals something we already suspect: shifting our attention to computer screens can leave us disengaged and discontented.<br /><br />From nineteenth-century textile mills to the cockpits of modern jets, from the frozen hunting grounds of Inuit tribes to the sterile landscapes of GPS maps, <em>The Glass Cage</em> explores the impact of automation from a deeply human perspective, examining the personal as well as the economic consequences of our growing dependence on computers.<br /><br />With a characteristic blend of history and philosophy, poetry and science, Carr takes us on a journey from the work and early theory of Adam Smith and Alfred North Whitehead to the latest research into human attention, memory, and happiness, culminating in a moving meditation on how we can use technology to expand the human experience.",3.75,925.0,2015-09-08,
7,8,A Short History of Nearly Everything,Bill Bryson,Non,June 2017,Science,544,9,9780767908184,21.0,"In Bryson's biggest book, he confronts his greatest challenge: to understand—and, if possible, answer—the oldest, biggest questions we have posed about the universe and ourselves. Taking as territory everything from the Big Bang to the rise of civilization, Bryson seeks to understand how we got from there being nothing at all to there being us. To that end, he has attached himself to a host of the world’s most advanced (and often obsessed) archaeologists, anthropologists, and mathematicians, travelling to their offices, laboratories, and field camps. He has read (or tried to read) their books, pestered them with questions, apprenticed himself to their powerful minds. <b>A Short History of Nearly Everything</b><i> </i>is the record of this quest, and it is a sometimes profound, sometimes funny, and always supremely clear and entertaining adventure in the realms of human knowledge, as only Bill Bryson can render it. Science has never been more involving or entertaining.",4.21,254636.0,2004-09-14,
8,9,Flash Boys,Michael Lewis,Non,June 2017,Business,304,6,9780393351590,24724602.0,"<strong>#1 <em>New York Times</em> Bestseller — With a new Afterword</strong><br /><br />In Michael Lewis's game-changing bestseller, a small group of Wall Street iconoclasts realize that the U.S. stock market has been rigged for the benefit of insiders. They band together—some of them walking away from seven-figure salaries—to investigate, expose, and reform the insidious new ways that Wall Street generates profits. If you have any contact with the market, even a retirement account, this story is happening to you.",4.15,33015.0,2015-03-23,
9,10,Modern Romance,Aziz Ansari,Non,June 2017,Psychology,279,6,9781594206276,23453112.0,"<b>Now a <i>New York Times</i> Bestseller<br /><br />A hilarious, thoughtful, and in-depth exploration of the pleasures and perils of modern romance from one of this generation’s sharpest comedic voices</b><br /><br />At some point, every one of us embarks on a journey to find love. We meet people, date, get into and out of relationships, all with the hope of finding someone with whom we share a deep connection. This seems standard now, but it’s wildly different from what people did even just decades ago. Single people today have more romantic options than at any point in human history. With technology, our abilities to connect with and sort through these options are staggering. So why are so many people frustrated?<br /><br />Some of our problems are unique to our time. “Why did this guy just text me an emoji of a pizza?” “Should I go out with this girl even though she listed Combos as one of her favorite snack foods? Combos?!” “My girlfriend just got a message from some dude named Nathan. Who’s Nathan? Did he just send her a photo of his penis? Should I check just to be sure?” <br /><br />But the transformation of our romantic lives can’t be explained by technology alone. In a short period of time, the whole culture of finding love has changed dramatically. A few decades ago, people would find a decent person who lived in their neighborhood. Their families would meet and, after deciding neither party seemed like a murderer, they would get married and soon have a kid, all by the time they were twenty-four. Today, people marry later than ever and spend years of their lives on a quest to find the perfect person, a soul mate.<br /><br />For years, Aziz Ansari has been aiming his comic insight at modern romance, but for <i>Modern Romance</i>, the book, he decided he needed to take things to another level. He teamed up with NYU sociologist Eric Klinenberg and designed a massive research project, including hundreds of interviews and focus groups conducted everywhere from Tokyo to Buenos Aires to Wichita. They analyzed behavioral data and surveys and created their own online research forum on Reddit, which drew thousands of messages. They enlisted the world’s leading social scientists, including Andrew Cherlin, Eli Finkel, Helen Fisher, Sheena Iyengar, Barry Schwartz, Sherry Turkle, and Robb Willer. The result is unlike any social science or humor book we’ve seen before.<br /><br />In <i>Modern Romance</i>, Ansari combines his irreverent humor with cutting-edge social science to give us an unforgettable tour of our new romantic world.",3.82,141478.0,2015-06-16,
